pid,display_pid,alias,image,floral_language,origin,production,category,blooming,color,size,soil,sunlight,watering,fertilization,pruning,max_light_mmol,min_light_mmol,max_light_lux,min_light_lux,max_temp,min_temp,max_env_humid,min_env_humid,max_soil_moist,min_soil_moist,max_soil_ec,min_soil_ec
abies cilicica,Abies cilicica,abies cilicica,http://pkb.resource.huahuacaocao.com/YWJpZXMgY2lsaWNpY2EuanBn?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October",Leaf color green,"Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies concolor,Abies concolor,abies concolor,http://pkb.resource.huahuacaocao.com/YWJpZXMgY29uY29sb3IuanBn?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October","Leaf color green , fruit color dark black, light blue black","Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies firma,Abies firma,abies firma,http://pkb.resource.huahuacaocao.com/YWJpZXMgZmlybWEuanBn?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October","Leaf color green , fruit color green, yellow brown, gray brown","Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies fraseri,Abies fraseri,abies fraseri,http://pkb.resource.huahuacaocao.com/YWJpZXMgZnJhc2VyaS5qcGc=?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October","Leaf color green , fruit color dark black, light blue black","Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies homolepis,Abies homolepis,abies homolepis,http://pkb.resource.huahuacaocao.com/YWJpZXMgaG9tb2xlcGlzLmpwZw==?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October",Leaf color green,"Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies koreana,Abies koreana,abies koreana,http://pkb.resource.huahuacaocao.com/YWJpZXMga29yZWFuYS5qcGc=?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October","Leaf color green , fruit color red brown","Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies lasiocarpa,Abies lasiocarpa,abies lasiocarpa,http://pkb.resource.huahuacaocao.com/YWJpZXMgbGFzaW9jYXJwYS5qcGc=?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October",Leaf color green,"Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies nordmanniana,Abies nordmanniana,abies nordmanniana,http://pkb.resource.huahuacaocao.com/YWJpZXMgbm9yZG1hbm5pYW5hLmpwZw==?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October",Leaf color green,"Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies pinsapo,Abies pinsapo,abies pinsapo,http://pkb.resource.huahuacaocao.com/YWJpZXMgcGluc2Fwby5qcGc=?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October",Leaf color green,"Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abies procera,Abies procera,abies procera,http://pkb.resource.huahuacaocao.com/YWJpZXMgcHJvY2VyYS5qcGc=?imageView2/1/w/%d/h/%d,,China,Southwestern China,"Pinaceae, Abies","Flowering period May, fruiting period October",Leaf color green,"Diameter â¥ 15 cm, height â¥ 30 cm",Peat or soil with specific nutrients,"Like sunshine, slight shade tolerance","Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly",Pruning accordingly for any favorate tree shapes,6000,2400,35000,1000,35,6,80,30,60,15,2000,350
abutilon megapotamicum,Abutilon megapotamicum,abutilon megapotamicum,http://pkb.resource.huahuacaocao.com/YWJ1dGlsb24gbWVnYXBvdGFtaWN1bS5qcGc=?imageView2/1/w/%d/h/%d,,Subtropical areas,China,"Malvaceae, Abutilon",Flowering period April-June,"Flower color red, white, yellow","Diameter â¥ 10 cm, height 15-50 cm",Peat or soil with specific nutrients,"Like moderat light, resistant to half shade, less light may affect flowering","Need a lot of water, water thoroughly when soil is dry","Dilute fertilizers following instructions,  apply 1-2 times monthly","Remove withered flowers, dead and diseased leaves timely",4500,2500,30000,3700,32,10,80,30,60,15,2000,350
abutilon palmeri,Abutilon palmeri,abutilon palmeri,http://pkb.resource.huahuacaocao.com/YWJ1dGlsb24gcGFsbWVyaS5qcGc=?imageView2/1/w/%d/h/%d,,"South America, India, Tropical Asia",China,"Malvaceae, Abutilon",Flowering period July-August,Flower color yellow,"Diameter â¥ 10 cm, height 15-20 cm",Peat or soil with specific nutrients,Like sunny and warm places,Keep soil moist,Top-dressing twice in vegetative stages,No need pruning,5000,3500,50000,3700,35,5,80,30,60,15,2000,350
abutilon pictum,Abutilon pictum,redvein abutilon,http://pkb.resource.huahuacaocao.com/YWJ1dGlsb24gcGljdHVtLmpwZw==?imageView2/1/w/%d/h/%d,,Subtropical areas,China,"Malvaceae, Abutilon",Flowering period April-June,Flower color orange yellow,"Diameter â¥ 10 cm, height 15-50 cm",Peat soil or loose sandy soil,"Like moderat light, resistant to half shade","Need a lot of water, water thoroughly when soil is dry","Dilute fertilizers following instructions,  apply 1-2 times monthly","Remove withered flowers, dead and diseased leaves timely",4500,2500,30000,3700,32,10,80,30,60,15,2000,350
abutilon striatum,Abutilon striatum,abutilon striatum,http://pkb.resource.huahuacaocao.com/YWJ1dGlsb24gc3RyaWF0dW0uanBn?imageView2/1/w/%d/h/%d,,South America,China,"Malvaceae, Abutilon",Flowering period May-October,"Flower color red, leaf color green","Diameter â¥ 10 cm, height â¥ 15 cm",Soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places","Water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,35,5,80,30,60,15,2000,350
acacia aneura,Acacia aneura,acacia aneura,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGFuZXVyYS5qcGc=?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places, slight shade tolerance","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,3500,35,5,80,30,60,15,2000,350
acacia auriculiformis,Acacia auriculiformis,acacia auriculiformis,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGF1cmljdWxpZm9ybWlzLmpwZw==?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places, slight shade tolerance","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,3500,35,5,80,30,60,15,2000,350
acacia baileyana,Acacia baileyana,acacia baileyana,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGJhaWxleWFuYS5qcGc=?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places, slight shade tolerance","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,3500,35,5,80,30,60,15,2000,350
acacia confusa,Acacia confusa,acacia confusa,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGNvbmZ1c2EuanBn?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places, slight shade tolerance","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,3500,35,5,80,30,60,15,2000,350
acacia dealbata,Acacia dealbata,acacia dealbata,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGRlYWxiYXRhLmpwZw==?imageView2/1/w/%d/h/%d,,Australia,"Yunnan, Guangxi, Fujian","Leguminosae, Acacia",Flowering period Aprilï¼flowering period July-August,"Flower colorlight yellow, orange, fruit color dark brown","Diameter â¥ 20 cm, height 20-30 cm",Peat or soil with specific nutrients,"Like sunshine, not resistant to shade","Water thoroughly when soil is dry, avoid saturated water",Apply enough base fertilizers,"Remove the pests-infested, old, dead and shaded branches of the plants",6000,4000,60000,3700,35,5,80,30,60,15,2000,350
acacia farnesiana,Acacia farnesiana,acacia farnesiana,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGZhcm5lc2lhbmEuanBn?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color pink, leaf color green","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,4000,35,5,80,30,60,15,2000,350
acacia floribunda,Acacia floribunda,acacia floribunda,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGZsb3JpYnVuZGEuanBn?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places, slight shade tolerance","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,3500,35,5,80,30,60,15,2000,350
acacia longifolia,Acacia longifolia,acacia longifolia,http://pkb.resource.huahuacaocao.com/YWNhY2lhIGxvbmdpZm9saWEuanBn?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places, slight shade tolerance","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,3500,35,5,80,30,60,15,2000,350
acacia redolens,Acacia redolens,acacia redolens,http://pkb.resource.huahuacaocao.com/YWNhY2lhIHJlZG9sZW5zLmpwZw==?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow, leaf color green","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,4000,35,5,80,30,60,15,2000,350
acacia spp.,Acacia spp.,acacia spp.,http://pkb.resource.huahuacaocao.com/YWNhY2lhIHNwcC4uanBn?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow, fruit color dark brown","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places, slight shade tolerance","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,3500,35,5,80,30,60,15,2000,350
acacia stenophyllodes,Acacia stenophyllodes,acacia stenophyllodes,http://pkb.resource.huahuacaocao.com/YWNhY2lhIHN0ZW5vcGh5bGxvZGVzLmpwZw==?imageView2/1/w/%d/h/%d,,Southeast Asia,Southern China,"Leguminosae, Acacia","Flowering period March-October, fruiting period August-December","Flower color light green, golden yellow","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places","Resistant to drought, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 2-3 times monthly","Remove dead, rotten, diseased leaves and the parts that may affect the good appearance",5000,3500,50000,4000,35,5,80,30,60,15,2000,350
acalypha reptans,Acalypha reptans,acalypha reptans,http://pkb.resource.huahuacaocao.com/YWNhbHlwaGEgcmVwdGFucy5qcGc=?imageView2/1/w/%d/h/%d,,New Guinea,China,"Euphorbiaceae, Acalypha",Flowering period March-October,Flower color red,"Diameter â¥ 20 cm, height â¥ 20 cm",Peat soil or loose sandy soil,"Like sunshine, slight resistant to shade",Water thoroughly after soil surface dries,"Dilute fertilizers following instructions,  apply 1-2 times monthly","Remove withered flowers, dead and diseased leaves timely",4500,2500,30000,3500,32,10,80,30,60,15,2000,350
acanthocereus tetragonus 'fairy castles',Acanthocereus tetragonus 'Fairy Castles',acanthocereus tetragonus fairy castles,http://pkb.resource.huahuacaocao.com/YWNhbnRob2NlcmV1cyB0ZXRyYWdvbnVzICdmYWlyeSBjYXN0bGVzJy5qcGc=?imageView2/1/w/%d/h/%d,"Acanthocereus tetragonus 'Fairy Castles'
Floriography: strong, kind, persistent.
Succulent stem of the Acanthocereus tetragonus 'Fairy Castles' is oval and palm shaped, thick and juicy. Leaves reduce to long needle spines. Because it is almost care free, Acanthocereus tetragonus 'Fairy Castles' is very popular and could be found on desktop, tea table, bedroom and office.
Acanthocereus tetragonus 'Fairy Castles' requires direct bright sunlight for growth. It blooms in certain conditions. Flower color could be light yellow, orange or pink.",Mexico,China,"Cactaceae, Rhipsalis","Succulent plants, sometimes flowers with a short period","Green, flower color light yellow, orange, pink","Diameter â¥ 10 cm, height â¥ 15 cm",Peat and akadama mixed in 3:1 ratio,"Likes strong light, put in sunny places","Resistant to drought, water thoroughly when soil is dry, reduce watering in winter dormancy","Dilute fertilizers following instructions, apply once monthly in spring to autumn",Remove dead and rotten part timely,8700,3500,100000,3000,35,5,80,15,50,7,1000,100
acanthus ilicifolius,Acanthus ilicifolius,acanthus ilicifolius,http://pkb.resource.huahuacaocao.com/YWNhbnRodXMgaWxpY2lmb2xpdXMuanBn?imageView2/1/w/%d/h/%d,,China,Southern China,"Acanthaceae, Acanthus",Flowering period May-September,"Flower color white, fruit color light yellow","Diameter â¥ 20 cm, height â¥ 25 cm",Soil with loose texture or soil with specific nutrients,"Resistant to shade, grows in places with scattered light or shade properly","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",2500,1200,6000,1500,32,10,80,30,60,15,2000,350
acanthus mollis,Acanthus mollis,acanthus mollis,http://pkb.resource.huahuacaocao.com/YWNhbnRodXMgbW9sbGlzLmpwZw==?imageView2/1/w/%d/h/%d,,Mediterranean region,Southern China,"Acanthaceae, Acanthus","Flowering period May-August, fruiting period October-November",Flower color white or light purple,"Diameter â¥ 10 cm, height 15-18 cm",Soil with loose texture or soil with specific nutrients,"Resistant to shade, put in places with scattered light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",2500,1200,6000,1500,32,8,80,30,60,15,2000,350
acanthus spinosus,Acanthus spinosus,acanthus ilicifolius,http://pkb.resource.huahuacaocao.com/YWNhbnRodXMgc3Bpbm9zdXMuanBn?imageView2/1/w/%d/h/%d,,China,Southern China,"Acanthaceae, Acanthus",Flowering period May-September,"Flower color white, purple, fruit color light yellow","Diameter â¥ 20 cm, height â¥ 25 cm",Soil with loose texture or soil with specific nutrients,"Resistant to shade, grows in places with scattered light or shade properly","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",2500,1200,6000,1500,32,10,80,30,60,15,2000,350
acer buergerianum,Acer buergerianum,acer buergerianum,http://pkb.resource.huahuacaocao.com/YWNlciBidWVyZ2VyaWFudW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August","Flower color yellow green, fruit color yellow brown, leaf color turn to red from green in autumn","Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer campestre,Acer campestre,acer campestre,http://pkb.resource.huahuacaocao.com/YWNlciBjYW1wZXN0cmUuanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August","Flower color yellow green, fruit color yellow brown, leaf color turn to yellow from green in autumn","Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer capillipes,Acer capillipes,acer capillipes,http://pkb.resource.huahuacaocao.com/YWNlciBjYXBpbGxpcGVzLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August",Flower color light yellow,"Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
acer cappadocicum,Acer cappadocicum,acer cappadocicum,http://pkb.resource.huahuacaocao.com/YWNlciBjYXBwYWRvY2ljdW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Aceraceae, Acer","Flowering period April, fruiting period August","Flower color light yellow, yellow green","Diameter â¥ 25 cm, height â¥ 30 cm",Acidic soil with loose texture or soil with specific nutrients,"Like sunshine, grows in sunny places, avoid summer direct strong light","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",7200,3000,75000,2800,35,5,80,30,60,15,2000,350
